id,context,chars,source_text,translation
"plant.spaghetti-squash.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",16,"Spaghetti Squash",""
"plant.spaghetti-squash.notes","Growing advice for Spaghetti Squash. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",223,"Spaghetti squash forms stringy flesh that separates into strands when cooked. Give it full sun, room to vine, and consistent water. Harvest when the rind turns deep yellow and resists a fingernail, then cure before storing.",""
"plant.yellow-squash.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",13,"Yellow Squash",""
"plant.yellow-squash.notes","Growing advice for Yellow Squash. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",212,"Yellow summer squash grows fast and heavy in full sun with rich, moist soil. Pick fruits young and often, around six inches, to keep the plant producing. Watch for squash bugs and powdery mildew in humid weather.",""
"plant.pattypan-squash.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",15,"Pattypan Squash",""
"plant.pattypan-squash.notes","Growing advice for Pattypan Squash. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",215,"Pattypan is a scalloped summer squash that is most tender when picked small. Grow it in full sun with steady moisture and rich soil. Harvest frequently at two to three inches across to encourage continuous fruiting.",""
"plant.delicata-squash.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",15,"Delicata Squash",""
"plant.delicata-squash.notes","Growing advice for Delicata Squash. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",226,"Delicata is a sweet winter squash with edible thin skin, grown on compact vines in full sun. It stores less long than thick-skinned types, so use it sooner. Harvest when the cream-and-green stripes deepen and the rind hardens.",""
"plant.kabocha-squash.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",14,"Kabocha Squash",""
"plant.kabocha-squash.notes","Growing advice for Kabocha Squash. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",217,"Kabocha is a sweet Japanese winter squash with dense flesh. It needs full sun, rich soil, and a long warm season on sprawling vines. Harvest when the stem corks and the skin hardens, then cure to deepen the sweetness.",""
"plant.gourd.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Gourd",""
"plant.gourd.notes","Growing advice for Gourd. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",216,"Ornamental and hard-shell gourds grow on long vigorous vines in full sun and warm soil. Give them a trellis for cleaner, better-shaped fruit. Leave them on the vine until fully mature, then dry thoroughly for crafts.",""
"plant.luffa.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Luffa",""
"plant.luffa.notes","Growing advice for Luffa. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",206,"Luffa is a long-season vining gourd that becomes a natural sponge when mature. It needs full sun, warm soil, and a sturdy trellis. Eat fruits young like squash, or leave them to dry on the vine for sponges.",""
"plant.tomatillo.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Tomatillo",""
"plant.tomatillo.notes","Growing advice for Tomatillo. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",214,"Tomatillos grow inside papery husks and need full sun and warm weather like their tomato cousins. Plant at least two for good pollination. Harvest when the fruit fills and splits the husk for the best tangy flavor.",""
"plant.nectarine.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Nectarine",""
"plant.nectarine.notes","Growing advice for Nectarine. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",212,"Nectarines are smooth-skinned peaches that need full sun, well-drained soil, and winter chill to fruit well. Thin young fruit for larger, sweeter harvests. Prune yearly for airflow and to reduce disease pressure.",""
"plant.persimmon.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Persimmon",""
"plant.persimmon.notes","Growing advice for Persimmon. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",214,"Persimmons are hardy, low-maintenance trees producing bright fall fruit. They like full sun and well-drained soil. Astringent varieties must soften fully before eating, while non-astringent types can be eaten firm.",""
"plant.guava.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Guava",""
"plant.guava.notes","Growing advice for Guava. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",219,"Guava is a fast-growing tropical tree that fruits young and loves full sun, warmth, and regular water. It is frost-sensitive, so protect it in cooler zones or grow in a pot. Harvest when fruits soften and turn fragrant.",""
"plant.papaya.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Papaya",""
"plant.papaya.notes","Growing advice for Papaya. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",211,"Papaya grows quickly into a tall, fast-fruiting tropical plant that needs full sun, warmth, and rich, well-drained soil. It is very frost-tender. Harvest when the skin shows mostly yellow for the sweetest fruit.",""
"plant.quince.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Quince",""
"plant.quince.notes","Growing advice for Quince. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",201,"Quince is a hardy small tree with fragrant, hard fruit best cooked rather than eaten raw. It likes full sun and well-drained soil. Harvest in late fall once fruits turn deep yellow and perfume the air.",""
"plant.date.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Date",""
"plant.date.notes","Growing advice for Date. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",213,"Date palms thrive in hot, dry climates with full sun and deep occasional watering. They tolerate poor soil and heat that would stress other fruit. Fruiting takes years and usually needs both male and female trees.",""
"plant.olive.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Olive",""
"plant.olive.notes","Growing advice for Olive. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",218,"Olive trees are drought-tolerant evergreens that love full sun and well-drained soil. They need a mild winter chill to fruit and dislike soggy roots. Harvest green for a firmer cure or black for a milder, riper flavor.",""
"plant.jackfruit.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Jackfruit",""
"plant.jackfruit.notes","Growing advice for Jackfruit. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",209,"Jackfruit is a massive tropical fruit on a large fast-growing tree that needs heat, humidity, and rich soil. It is very frost-sensitive. Harvest when the fruit gives slightly and releases a strong sweet aroma.",""
"plant.lychee.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Lychee",""
"plant.lychee.notes","Growing advice for Lychee. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",211,"Lychee is a subtropical tree producing sweet, fragrant fruit in summer. It needs full sun, humidity, and protection from frost and drying winds. Trees fruit best after several years and a brief cool, dry period.",""
"plant.loquat.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Loquat",""
"plant.loquat.notes","Growing advice for Loquat. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",209,"Loquat is an evergreen tree that flowers in fall and ripens sweet-tart fruit in spring. It likes full sun and well-drained soil and tolerates mild frost. Harvest when fruits turn deep yellow-orange and soften.",""
"plant.mulberry-tree.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",13,"Mulberry Tree",""
"plant.mulberry-tree.notes","Growing advice for Mulberry Tree. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",213,"Mulberry trees are fast-growing and generous, dropping sweet berries over a long season. They handle full sun and a range of soils with little care. The fruit stains easily, so plant away from patios and walkways.",""
"plant.pluot.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Pluot",""
"plant.pluot.notes","Growing advice for Pluot. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",218,"Pluots are sweet plum-apricot hybrids that need full sun, well-drained soil, and winter chill. Thin the fruit for size and plant a compatible pollinizer nearby. Harvest when fruits soften slightly and reach full color.",""
"plant.kumquat-tree.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",12,"Kumquat Tree",""
"plant.kumquat-tree.notes","Growing advice for Kumquat Tree. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",235,"Kumquat trees are compact, cold-hardy citrus that produce small fruit eaten skin and all. They love full sun and well-drained soil and do well in containers. Harvest when fruits turn fully orange for the best balance of sweet and tart.",""
"plant.feijoa.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Feijoa",""
"plant.feijoa.notes","Growing advice for Feijoa. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",213,"Feijoa, or pineapple guava, is an evergreen shrub with edible flowers and aromatic fall fruit. It likes full sun and tolerates mild frost. Let fruit drop naturally when ripe rather than picking it from the branch.",""
"plant.tangerine.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Tangerine",""
"plant.tangerine.notes","Growing advice for Tangerine. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",235,"Tangerines are easy-peeling citrus that need full sun, well-drained soil, and protection from frost. They fruit well in containers in cooler zones. Harvest when fully colored and slightly soft, as citrus does not sweeten after picking.",""
"plant.clementine.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Clementine",""
"plant.clementine.notes","Growing advice for Clementine. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",213,"Clementines are small, sweet, seedless citrus that love full sun and steady moisture with good drainage. They are frost-sensitive and thrive in pots where winters are cold. Harvest when deep orange and fully ripe.",""
"plant.kumquat.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Kumquat",""
"plant.kumquat.notes","Growing advice for Kumquat. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",203,"Kumquats are tiny citrus eaten whole, skin included, with a sweet rind and tart flesh. The plants are compact and among the most cold-hardy citrus. Give them full sun and harvest fruit when fully orange.",""
"plant.blood-orange.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",12,"Blood Orange",""
"plant.blood-orange.notes","Growing advice for Blood Orange. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",214,"Blood oranges develop their crimson flesh best where days are warm and nights are cool. They need full sun, good drainage, and frost protection. Leave fruit on the tree to deepen color and flavor before harvesting.",""
"plant.yuzu.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Yuzu",""
"plant.yuzu.notes","Growing advice for Yuzu. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",214,"Yuzu is an aromatic, cold-hardy citrus prized for its fragrant zest and juice. It tolerates more frost than most citrus and likes full sun. Harvest when fruit turns yellow, using both the peel and juice in cooking.",""
"plant.bergamot.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Bergamot",""
"plant.bergamot.notes","Growing advice for Bergamot. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",219,"Bergamot orange is grown mainly for its fragrant peel, famous for flavoring Earl Grey tea. It needs full sun, well-drained soil, and frost protection. Harvest when the fruit turns yellow and the rind is highly aromatic.",""
"plant.calamansi.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Calamansi",""
"plant.calamansi.notes","Growing advice for Calamansi. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",217,"Calamansi is a small, tart Philippine citrus that fruits heavily and grows well in containers. It loves full sun, warmth, and steady moisture with good drainage. Harvest green or ripe orange, both intensely flavorful.",""
"plant.pineapple.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Pineapple",""
"plant.pineapple.notes","Growing advice for Pineapple. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",227,"Pineapple grows from a leafy crown in full sun with warm temperatures and well-drained soil. It fruits after a year or more and does well in containers indoors in cold climates. Harvest when the fruit turns golden and fragrant.",""
"plant.kiwi.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Kiwi",""
"plant.kiwi.notes","Growing advice for Kiwi. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",217,"Kiwi vines are vigorous climbers that need a strong trellis, full sun, and usually both male and female plants to fruit. Give them rich, well-drained soil. Fruit ripens in fall and sweetens off the vine after picking.",""
"plant.passionfruit.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",12,"Passionfruit",""
"plant.passionfruit.notes","Growing advice for Passionfruit. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",228,"Passionfruit is a fast tropical vine with striking flowers and tangy fruit. It needs full sun, a sturdy trellis, and steady water. In cooler zones grow it as an annual or in a container. Harvest fruit once it wrinkles and drops.",""
"plant.dragon-fruit.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",12,"Dragon Fruit",""
"plant.dragon-fruit.notes","Growing advice for Dragon Fruit. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",216,"Dragon fruit is a climbing cactus that produces vivid fruit and night-blooming flowers. It needs full sun, warmth, well-drained soil, and a sturdy support. Some varieties need hand-pollination for reliable fruit set.",""
"plant.starfruit.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Starfruit",""
"plant.starfruit.notes","Growing advice for Starfruit. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",227,"Starfruit, or carambola, is a tropical tree with juicy ribbed fruit that slices into stars. It needs full sun, warmth, and consistent moisture, and is frost-sensitive. Harvest when the ribs turn golden and slightly brown-edged.",""
"plant.coconut.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Coconut",""
"plant.coconut.notes","Growing advice for Coconut. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",217,"Coconut palms need constant heat, humidity, full sun, and sandy well-drained soil. They only thrive in truly tropical, frost-free climates. Grown mostly along coasts, they take years to bear fruit and reward patience.",""
"plant.cape-gooseberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",15,"Cape Gooseberry",""
"plant.cape-gooseberry.notes","Growing advice for Cape Gooseberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",202,"Cape gooseberry, or ground cherry, produces sweet-tart fruit inside papery husks. It grows like a tomato in full sun with warm soil. Fruit is ripe when the husk browns and the berry drops to the ground.",""
"plant.rambutan.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Rambutan",""
"plant.rambutan.notes","Growing advice for Rambutan. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",226,"Rambutan is a tropical tree bearing sweet, hairy-skinned fruit related to lychee. It demands high heat, humidity, and rich, moist soil, with no tolerance for frost. Harvest when the skin turns bright red and the spines soften.",""
"plant.longan.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Longan",""
"plant.longan.notes","Growing advice for Longan. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",216,"Longan is a subtropical relative of lychee producing clusters of sweet, translucent fruit. It likes full sun, warmth, and well-drained soil and tolerates brief cool spells. Harvest when the tan skin is firm and full.",""
"plant.tamarind.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Tamarind",""
"plant.tamarind.notes","Growing advice for Tamarind. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",213,"Tamarind is a large tropical tree yielding tangy-sweet pods used in cooking. It thrives in heat and full sun and tolerates drought once established. Pods are ready when brown and brittle and the pulp turns sticky.",""
"plant.cantaloupe.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Cantaloupe",""
"plant.cantaloupe.notes","Growing advice for Cantaloupe. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",227,"Cantaloupe needs full sun, warm soil, and a long hot season to develop sweet fruit. Give vines room to sprawl and water steadily until fruit sizes up, then ease off. Harvest when the stem slips easily and the netting turns tan.",""
"plant.casaba-melon.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",12,"Casaba Melon",""
"plant.casaba-melon.notes","Growing advice for Casaba Melon. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",223,"Casaba is a wrinkled, late-season melon with sweet pale flesh. It needs a long, hot, dry finish to ripen well in full sun. Harvest when the rind turns golden yellow, since casabas do not slip from the vine like cantaloupes.",""
"plant.crenshaw-melon.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",14,"Crenshaw Melon",""
"plant.crenshaw-melon.notes","Growing advice for Crenshaw Melon. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",208,"Crenshaw melons are large and fragrant with sweet salmon-colored flesh. They need full sun, heat, and a long season on sprawling vines. Harvest when the blossom end softens and the aroma turns rich and sweet.",""
"plant.bitter-melon.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",12,"Bitter Melon",""
"plant.bitter-melon.notes","Growing advice for Bitter Melon. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",223,"Bitter melon is a warm-season climbing vine grown for its distinctive bitter fruit. It needs full sun, heat, and a trellis to climb. Harvest young and light green for milder flavor, before the fruit turns yellow and splits.",""
"plant.winter-melon.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",12,"Winter Melon",""
"plant.winter-melon.notes","Growing advice for Winter Melon. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",201,"Winter melon is a large vining gourd that stores for months thanks to its waxy skin. It needs full sun, heat, and plenty of space. Harvest mature fruit once the skin develops its powdery white coating.",""
"plant.galia-melon.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Galia Melon",""
"plant.galia-melon.notes","Growing advice for Galia Melon. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",220,"Galia is an aromatic melon with netted skin and sweet green flesh. It thrives in full sun with warm soil and steady water while fruit develops. Harvest when the rind turns golden and the fruit slips easily from the vine.",""
"plant.huckleberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Huckleberry",""
"plant.huckleberry.notes","Growing advice for Huckleberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",232,"Huckleberries are cousins of blueberries that favor acidic, well-drained soil and partial shade. They can be slow to establish but reward patience with tart-sweet fruit. Harvest when berries are deep blue-purple and come off easily.",""
"plant.lingonberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Lingonberry",""
"plant.lingonberry.notes","Growing advice for Lingonberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",234,"Lingonberry is a low, cold-hardy evergreen shrub that produces tart red berries. It needs acidic, moist, well-drained soil and full sun to partial shade. It makes an attractive groundcover and fruits twice a season in good conditions.",""
"plant.salmonberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Salmonberry",""
"plant.salmonberry.notes","Growing advice for Salmonberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",220,"Salmonberry is a Pacific Northwest native producing golden to red berries in early summer. It likes moist soil and partial shade, mimicking its woodland home. It spreads by suckers, so give it space or contain the roots.",""
"plant.aronia.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Aronia",""
"plant.aronia.notes","Growing advice for Aronia. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",230,"Aronia, or chokeberry, is a tough native shrub loaded with antioxidant-rich fruit. It tolerates a wide range of soils, full sun to part shade, and cold winters. Harvest the dark berries in late summer once fully ripe and softened.",""
"plant.goji-berry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Goji Berry",""
"plant.goji-berry.notes","Growing advice for Goji Berry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",233,"Goji berry is a hardy, adaptable shrub that fruits heavily in full sun with well-drained soil. It tolerates poor soil and drought once established. Harvest bright red berries when fully colored, handling gently as they bruise easily.",""
"plant.barberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Barberry",""
"plant.barberry.notes","Growing advice for Barberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",214,"Barberry is a thorny, drought-tolerant shrub whose tart red berries are used in cooking. It thrives in full sun and a range of soils and is very low maintenance. Harvest the berries in fall once they turn deep red.",""
"companion.basil-tomato","Why basil and tomato are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",84,"Basil repels aphids and hornworms, and many gardeners say it improves tomato flavor.",""
"companion.basil-pepper","Why basil and pepper are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",81,"Basil masks the scent peppers give off, helping hide them from aphids and thrips.",""
"companion.basil-oregano","Why basil and oregano are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",75,"Both are aromatic herbs with the same water and sun needs — easy neighbors.",""
"companion.carrot-onion","Why carrot and onion are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",76,"Onions deter carrot flies, and carrots return the favor against onion flies.",""
"companion.carrot-lettuce","Why carrot and lettuce are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",62,"Lettuce shades the soil and keeps carrot roots cool and moist.",""
"companion.carrot-tomato","Why carrot and tomato are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",80,"Tomatoes give carrots afternoon shade; carrots loosen the soil around the roots.",""
"companion.onion-lettuce","Why onion and lettuce are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",63,"Onions keep aphids and rabbits away from tender lettuce leaves.",""
"companion.onion-strawberry","Why onion and strawberry are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",74,"Onions deter slugs and rabbits that would otherwise go after ripe berries.",""
"companion.onion-beet","Why onion and beet are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",62,"Classic pairing — they improve each other's growth and flavor.",""
"companion.onion-tomato","Why onion and tomato are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",64,"Onions repel aphids and spider mites that target tomato foliage.",""
"companion.bean-corn","Why bean and corn are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",92,"Beans climb the corn stalks and fix nitrogen back into the soil — half of the Three Sisters.",""
"companion.corn-squash","Why corn and squash are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",81,"Squash leaves shade the ground, block weeds, and hold soil moisture for the corn.",""
"companion.corn-pumpkin","Why corn and pumpkin are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",73,"Pumpkin vines cover the soil and deter raccoons from getting at the corn.",""
"companion.corn-cucumber","Why corn and cucumber are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",70,"Corn gives cucumber vines something to climb and provides light shade.",""
"companion.cucumber-radish","Why cucumber and radish are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",55,"Radishes deter cucumber beetles when planted alongside.",""
"companion.cucumber-lettuce","Why cucumber and lettuce are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",75,"Cucumbers grow tall and shade lettuce, keeping it from bolting in the heat.",""
"companion.lettuce-radish","Why lettuce and radish are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",75,"Radishes break up the soil and are harvested before lettuce needs the room.",""
"companion.lettuce-strawberry","Why lettuce and strawberry are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",71,"Both are shallow-rooted, low growers that cover soil without competing.",""
"companion.marigold-tomato","Why marigold and tomato are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",65,"Marigolds deter nematodes and whiteflies in the tomato root zone.",""
"companion.marigold-pepper","Why marigold and pepper are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",71,"Marigolds pull aphids away from peppers and attract beneficial insects.",""
"companion.nasturtium-pea","Why nasturtium and pea are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",73,"Nasturtiums attract beneficial insects and pull aphids off the pea vines.",""
"companion.nasturtium-cucumber","Why nasturtium and cucumber are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",68,"Nasturtiums act as a trap crop for cucumber beetles and squash bugs.",""
"companion.beet-lettuce","Why beet and lettuce are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",74,"Beets grow down, lettuce grows out — they use different layers of the bed.",""
"companion.pepper-tomato","Why pepper and tomato are planted together (or kept apart). Horticultural claim — verify it holds in the target region before rewording.",74,"Same soil, sun, and water needs, so they're easy to care for side by side.",""
